title,journal,year,volume,issue,theory,quant,hypo_testing,hypo_explicit,table,hypo,var,coef,se,t-value,z-value,OR,95% CI (lb),95% CI (ub),99.9% CI (lb),99.9% CI (ub),test,test_type,should_be_test_type,note
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets,1.198,,2.53,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.216,,1.19,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.477,,2.16,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.735,,3.36,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.464,,1.75,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.232,,0.69,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.295,,1.57,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.665,,3.32,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.702,,2.12,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.529,,0.85,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.028,,0.07,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,1.133,,2.33,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,1.029,,2.49,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.254,,0.68,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.206,,0.71,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.443,,2.13,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,-0.035,,-0.14,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.472,,3.24,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.221,,1.4,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.342,,1.38,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.362,,0.91,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.356,,2.11,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.136,,0.63,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.374,,2.01,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Offenders,0.108,,0.36,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,0.001,,0.01,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.406,,-2.85,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.699,,-3.64,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.393,,-1.62,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.276,,-1.33,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.251,,-1.37,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.307,,-2.4,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.316,,-1.73,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.778,,-1.36,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.225,,-1.3,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.757,,-1.99,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.978,,-1.79,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,0.349,,1.52,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.466,,-2.33,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.107,,-0.52,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.071,,-0.46,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,0.054,,0.38,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.114,,-1.1,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.452,,-3.06,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.693,,-2.47,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.139,,-1.49,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.286,,-2.06,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.36,,-3.1,,,,,,,negative binomial regression (two-tailed),2,,
GENERAL THEORY OF SPATIAL CRIME PATTERNS ,crim,2016,54,4,0,1,1,0,3,1,Targets x Offenders,-0.437,,-2.16,,,,,,,negative binomial regression (two-tailed),2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Females only ,-0.031,0.011,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Black majority ,-0.075,0.068,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Validated Outcome Measure ,-0.042,0.033,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,All ages ,-0.035,0.051,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Experimental Design ,-0.021,0.026,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,U.S. only ,-0.018,0.01,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Community sample ,-0.015,0.008,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Other majority ,-0.008,0.039,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Teacher report  ,-0.003,0.039,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Hand average ,-0.003,0.022,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Left ,0.001,0.008,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Mixed ,0.005,0.011,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Precise Ratio ,0.007,0.071,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Female aggression,0.007,0.016,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Criminal behavior ,0.016,0.015,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Composite Outcome Measure ,0.02,0.009,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Young adults ,0.02,0.033,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Unknown ,0.02,0.081,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Asian majority ,0.021,0.012,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Risky/impulsive behavior,0.022,0.01,,,,,,,,V-known multilevel model,2,,moderator analysis
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Female Overall Effect Size ,0.024,0.017,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Unknown ,0.027,0.026,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Aggression ,0.028,0.015,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Other,0.03,0.038,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Male aggression,0.034,0.02,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Parent report ,0.037,0.028,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Overall Effect Size ,0.047,0.012,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Female risky/impulsive behavior ,0.051,0.023,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Adults ,0.055,0.037,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Male Overall Effect Size,0.056,0.016,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Hispanic majority ,0.06,0.039,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,3,1,Clinical sample ,0.061,0.036,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Risky/impulsive behavior ,0.077,0.014,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Male risky/impulsive behavior ,0.092,0.02,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Criminal behavior ,0.104,0.046,,,,,,,,V-known multilevel model,2,,
REVISITING THE CRIMINOLOGICAL CONSEQUENCES OF EXPOSURE TO FETAL TESTOSTERONE: A META-ANALYSIS OF THE 2D:4D DIGIT RATIO ,crim,2016,54,4,0,1,1,0,2,1,Male criminal behavior ,0.106,0.053,,,,,,,,V-known multilevel model,2,,
"RISK, RACE, AND RECIDIVISM: PREDICTIVE BIAS AND DISPARATE IMPACT ",crim,2016,54,4,0,1,1,1,3,1,Race (White) ,,,,,0.72,,,0.66,0.78,logistic regression,0,2,
"RISK, RACE, AND RECIDIVISM: PREDICTIVE BIAS AND DISPARATE IMPACT ",crim,2016,54,4,0,1,1,1,3,1,PCRA Total,,,,,1.3,,,1.29,1.32,logistic regression,0,2,
"RISK, RACE, AND RECIDIVISM: PREDICTIVE BIAS AND DISPARATE IMPACT ",crim,2016,54,4,0,1,1,1,3,1,Race (White) ,,,,,0.92,,,0.84,1.01,logistic regression,0,2,
"RISK, RACE, AND RECIDIVISM: PREDICTIVE BIAS AND DISPARATE IMPACT ",crim,2016,54,4,0,1,1,1,3,1,PCRA Total,,,,,1.3,,,1.28,1.32,logistic regression,0,2,
"RISK, RACE, AND RECIDIVISM: PREDICTIVE BIAS AND DISPARATE IMPACT ",crim,2016,54,4,0,1,1,1,3,1,Race (White) ,,,,,0.73,,,0.52,1.02,logistic regression,0,2,
"RISK, RACE, AND RECIDIVISM: PREDICTIVE BIAS AND DISPARATE IMPACT ",crim,2016,54,4,0,1,1,1,3,1,PCRA Total,,,,,1.28,,,1.26,1.31,logistic regression,0,2,
"RISK, RACE, AND RECIDIVISM: PREDICTIVE BIAS AND DISPARATE IMPACT ",crim,2016,54,4,0,1,1,1,3,1,Race _ PCRA Total ,,,,,1.03,,,1,1.06,logistic regression,0,2,
